Lyrics,Class
"I'll never know why I had to go
Why I had to put up such a lousy rotten show
Boy, I was tough, packing all my stuff
Saying I don't need you anymore, I've had enough
And now, look at me standing here again 'cause I found out that
Ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here
Gotta have you near
As good as new, my love for you
And keeping it that way is my intention
As good as new and growing too
Yes, I think it's taking on a new dimension
It's as good as new, my love for you
Just like it used to be and even better
As good as new, thank God it's true
Darling, we were always meant to stay together
Feel like a creep, never felt so cheap
Never had a notion that my love could be so deep
How could I make such a dumb mistake
Now I know I'm not entitled to another break
But please, baby, I beg you to forgive 'cause I found out that
Ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here
Gotta get you near
I thought that our love was at an end but here I am again
As good as new, my love for you
And keeping it that way is my intention
As good as new and growing too
Yes, I think it's taking on a new dimension
It's as good as new, my love for you
Just like it used to be and even better
As good as new, thank God it's true
Darling, we were always meant to stay together
Yes the love I have for you feels as good as new
Darling, we were always meant to stay together",Energetic
"You're so hot, teasing me
So, you're blue, but I can't take a chance on a chick like you
That's something I couldn't do
There's that look in your eyes
I can read in your face that your feelings are driving you wild
Ah, but girl, you're only a child
Well, I can dance with you, honey, if you think it's funny
Does your mother know that you're out?
And I can chat with you, baby, flirt a little maybe
Does your mother know that you're out?
Take it easy (take it easy)
Better slow down, girl
That's no way to go
Does your mother know?
Take it easy (take it easy)
Try to cool it, girl
Take it nice and slow
Does your mother know?
I can see what you want
But you seem pretty young to be searching for that kind of fun
So maybe I'm not the one
Now you're so cute, I like your style
And I know what you mean when you give me a flash of that smile (smile)
But girl, you're only a child
Well, I can dance with you, honey, if you think it's funny
Does your mother know that you're out?
And I can chat with you, baby, flirt a little maybe
Does your mother know that you're out?
Take it easy (take it easy)
Better slow down, girl
That's no way to go
Does your mother know?
Take it easy (take it easy)
Try to cool it, girl
Take it nice and slow
Does your mother know?
Well, I can dance with you, honey, if you think it's funny
Does your mother know that you're out?
And I can chat with you, baby, flirt a little maybe
Does your mother know that you're out?
Well, I can dance with you, honey, if you think it's funny
Does your mother know that you're out?
And I can chat with you, baby, flirt a little maybe
Does your mother know that you're out?
Well, I can dance with you, honey, if you think it's funny
Does your mother know that you're out?
And I can chat with you, baby, flirt a little maybe",Happy
"Twinkle twinkle little star
How I wonder what you are
Like a diamond glitt'ring in the sky
Seems to me you shine your light
Down to me to say goodnight
Twinkle twinkle my old friend
Sleep is waiting round the bend
While you travel through the Milky Way
From afar
Twinkle twinkle twinkle little star

Raindrops on a window pane
Stillness of a summer rain
Silently the haze drifts through the trees
Slowly dawn is breaking through
Yet a morning without you

Curtains rustling in the breeze
I'm still trapped within my dreams
Daylight makes its way into my mind
Coming through
Yet another morning without you

Finally when darkness falls
Casting shadows on the walls
In the twilight hour I am alone
Sitting near the fireplace
Dying embers warm my face
In this peaceful solitude
All the outside world subdued
Everything comes back to me again
In the gloom
Like an angel passing through my room

Echoes of a voice I knew...

Half awake and half in dreams seeing long forgotten scenes
So the present runs into the past
Now and then become entwined
Playing games within my mind
Like the embers as they die
Love was one prolonged goodbye
And it all comes back to me tonight
In the gloom Like an angel passing through my room

I close my eyes
And my twilight images go by
All to soon
Like an angel passing through my room

Long awaited darkness falls
Casting shadows on the walls
In the twilight hour I am alone
Sitting near the fireplace
Dying embers warm my face
In this peaceful solitude
All the outside world subdued
Everything comes back to me again
In the gloom
Like an angel passing through my room

Half awake and half in dreams
Seeing long forgotten scenes
So the present runs into the past
Now and then become entwined
Playing games within my mind
Like the embers as they die
Love was one prolonged goodbye
And it all comes back to me tonight
In the gloom
Like an angel passing through my room

I close my eyes
And my twilight images go by
All too soon
Like an angel passing through my room ",Sad
"Early this morning I drove in the rain
Out to the airport to get on the plane
Hey Honololu, I'm going to Happy Hawaii
Alice has been there, she said it was fun
Swimming and surfing, enjoying the sun
Hey Honololu, we're going to Happy Hawaii
After all I've had to go through
I'm making no plans (making no plans oh-ooh)
ButI, but I believe love gives me a second chance
Guess I've been working a little too hard
Need a vacation, I'll send you a card
From Honololu, a greeting from Happy Hawaii
It's so exciting, why should I pretend?
In a few hours the plane will descend
Hey Honololu, we're going to Happy Hawaii
(We're going to Honolulu, we're going to Honolulu)
I can imagine the beach and the sand
Walking with someone and holding his hand
Hey Honololu, we're going to Happy Hawaii
(We're going to Honolulu)
After all I've had to go through
I'm making no plans (making no plans oh-ooh)
But I, but I believe love gives me a second chance, mmm
I've got a feeling the dream will come true
Someone is waiting and I'll forget you
Hey Honololu, we're going to Happy Hawaii
(We're going to Honolu-)",Happy
"I was a fighter always looking for trouble
And my life was so empty, there was nothing left to live for
But then it happened one night as I got into a fight
I could hear someone saying as though he was praying
Treat him well, he is your brother
You might need his help one day
We depend on one another
Love him that's the only way
On the road, on the road that we're going
We all need, we all need words of comfort and compassion
Treat him well, he is your brother
Love him that's the only way
I was a woman never thinking of others
And my life was so lonely, didn't care for anybody
But then I happened to meet a begging man in the street
As I turned down his praying I heard someone saying
Treat him well, he is your brother, brother
You might need his help one day, he's your brother
We depend on one another, brother
Love him that's the only way
On the road, on the road that we're going, that we're going
We all need, we all need words of comfort and compassion
Treat him well, he is your brother, brother
Love him that's the only way
Treat him well, he is your brother, brother
You might need his help one day, he's your brother
We depend on one another, brother
Love him, that's the only way
Treat him well, he is your brother, brother
You might need his help one day, he's your brother
We depend on one another, brother",Happy
"I have a very good friend
The kind of girl who likes to follow a trend
She has a personal style
Some people like it, others tend to go wild
You hear her voice everywhere
Taking the chair
She's a leading lady
And with no trace of hesitation she keeps going
Head over heels
Breaking her way
Pushing through unknown jungles every day
She's a girl with a taste for the world
(The world is like a playing ground where she goes rushing)
Head over heels
Setting the pace
Running the gauntlet in a whirl of lace
She's extreme, if you know what I mean
Her man is one I admire
He's so courageous but he's constantly tired
Each time when he speaks his mind
She pats his head and says, ""That's all very fine""
""Exert that will of your own
When you're alone
Now we'd better hurry""
And with no trace of hesitation she keeps going
Head over heels
Breaking her way
Pushing through unknown jungles every day
She's a girl with a taste for the world
(The world is like a playing ground where she goes rushing)
Head over heels
Setting the pace
Running the gauntlet in a whirl of lace
She's extreme, if you know what I mean
You hear her voice everywhere
Taking the chair
She's a leading lady
And with no trace of hesitation she keeps going
Head over heels
Breaking her way
Pushing through unknown jungles every day
She's a girl with a taste for the world
(The world is like a playing ground where she goes rushing)
Head over heels
Setting the pace
Running the gauntlet in a whirl of lace
She's extreme, if you know what I mean
And she goes
Head over heels",Relax
"So at last you're free
It's the way you wanted it to be
And the price you paid
To become a woman of today
Is it worth the pain to see the children cry
Does it hurt when they ask for Daddy
Hey hey Helen
Now you live on your own
Hey hey Helen
Can you make it alone
(Yes you can)
So you're free at last
And beginning to forget the past
Does it make you Sad
When you think about the life you ha-ha-had
But you're right, you had to take a second chance
So you fight to find your freedom
Hey hey Helen
Now you live on your own
Hey hey Helen
Can you make it alone
Hey hey Helen (hey hey Helen)
What's the matter with you
Hey hey Helen (hey hey Helen)
Don't you know what to do
(Yes you do)
(Ahah, yes you do yes you do)
(Ahah, yes you do yes you do)
Hey hey Helen
Now you live on your own
Hey hey Helen
Can you make it alone
Hey hey Helen (hey hey Helen)
What's the matter with you
Hey hey Helen (hey hey Helen)
Don't you know what to do
Hey hey Helen (hey hey Helen)
Now you live on your own
Hey hey Helen (hey hey Helen)",Happy
"Honey honey, how you thrill me, a-ha, honey honey
Honey honey, nearly kill me, a-ha, honey honey
I'd heard about you before
I wanted to know some more
And now I know what they mean, you're a love machine
Oh, you make me dizzy
Honey honey, let me feel it, a-ha, honey honey
Honey honey, don't conceal it, a-ha, honey honey
The way that you kiss good night
The way that you hold me tight
I feel like I wanna sing when you do your thing
I don't wanna hurt you baby, I don't wanna see you cry
So stay on the ground girl, you better not get too high
But I'm gonna stick to you boy, you'll never get rid of me
There's no other place in this world where I rather would be
Honey honey, touch me baby, a-ha, honey honey
Honey honey, hold me baby, a-ha, honey honey
You look like a movie star (look like a movie star)
But I know just who you are (I wonder just who you are)
And honey, to say the least, you're a doggone beast
So stay on the ground girl, you better not get too high
There's no other place in this world where I rather would be
Honey honey, how you thrill me, a-ha, honey honey
Honey honey, nearly kill me, a-ha, honey honey
I'd heard about you before (I'd heard about you before)
I wanted to know some more (I wanted to know you some more)
And now I know what they mean, you're a love machine Oh, you make me dizzy",Happy
"I am just a girl
One among the others
Nothing much to say
Plain and simple girl
Not the special type in any way
Just one look and you will surely see
That the true Miss Nobody is me
It's an evil world
That has only made me a girl
I am just a girl
Not the kind of woman
Men would like to meet
Just another girl
No one ever looks at in the street
But today I can't believe it's true
When you smiled and whispered 'I love you'
Darling I could see I was meant to be your girl
It's a funny feeling when you get to love someone
And thinking that he'll never look your way
But then he say he loves you
And life has just begun
It's so much more than any words can say
I am just a girl
Not the kind of woman
Men would like to meet
Just another girl
No one ever looks at in the street
But today I can't believe it's true
When you smiled and whispered 'I love you'
Darling I could see I was meant to be your girl
But today I can't believe it's true
When you smiled and whispered 'I love you'
Darling I could see I was meant to be your girl",Sad
"i am the city, you let me be
i am the city
Coming through a cloud you're looking at me from above
And I'm a revelation spreading out before your eyes
And you find me beautiful and irresistible
A kind of creature that forever seems to grow in size
And you feel a strange attraction
The air is vibrant and electrified
Welcome to me here I am, my arms are open wide
Somewhere in the middle of the never ending noise
There is a constant steady rhythm of a heart that beats
And a million voices blend into a single voice
And you can hear it in the glamor of the crowded streets
People come and take their chances
Sometimes you win sometimes you lose a lot
Come make your own contribution to this melting pot
I'm the street you walk
The language you talk
I am the city
The skyline is me and the energy
I am the city
The famous hotels and the cocktail bars
And the funny smells
And the turmoil, the cars and the people
The air that you're breathing is me
Yes I am the city, you let me be
People feed me with their lives I have a hungry soul
And they all worship me and pay their homage day and night
Every day I knew a lot of tired shopping feet
But come the night they will be dancing in the neon light
Dazzled by the crazy magic
They're grabbing pieces of the fatted calf
And in the wind if you listen hard you'll hear me laugh
I'm the street you walk
The language you talk
I am the city
The skyline is me and the energy
I am the city
The famous hotels and the cocktail bars
And the funny smells
And the turmoil, the cars and the people
The parks and the squares that you see
All the sounds that you hear
And the air that you're breathing is me
Yes I am the city, you let me be
I am the city
You let me be
I am the city
The famous hotels and the cocktail bars
And the funny smells
And the turmoil the cars and the people
The air that you're breathing is me
Coming through a cloud
You're looking at me from above
And I'm a revelation spreading out before your eyes
I'm the street you walk
The language you talk
I am the city
Yes I am the city, you let me be
And you find me beautiful and irresistible
A kind of creature that forever seems to grow in size
The skyline is me and the energy
I am the city
You let me be
Somewhere in the middle of the never ending noise
There is a constant steady rhythm of a heart that beats
Somewhere in the middle of the never ending noise
There is a constant steady rhythm of a heart that beats
And a million voices blend into a single voice
And you can hear it in the glamor of the crowded streets
The skyline is me and the energy
I am the city
You let me be
Somewhere in the middle of the never ending noise
There is a constant steady rhythm of a heart that beats
Somewhere in the middle of the never ending noise
There is a constant steady rhythm of a heart that beats",Nature
